goal,a,b,label,edge_type,source,system_tag
test computer image recognition,open software for image recognition,download object to computer,0,reversed,reversed_edge,three_way_probe
buy some music equipment,Search for music equipment,Go to Amazon.com,0,reversed,reversed_edge,three_way_probe
learn to bowl,Rent bowling gear,Get assigned to a lane,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,ask friends and family for opinions and thoughts,read books on religion,2,truly_parallel,proscript,three_way_probe
sit in the front seat of the car,unlock the car door,walk out of the house,0,reversed,reversed_edge,three_way_probe
run to a local store to make a purchase,Get keys and start car.,Search address of local store.,0,reversed,reversed_edge,three_way_probe
get more involved,talk to the child's teachers,plan activities together,2,truly_parallel,proscript,three_way_probe
rent a movie for the evening,drive to a red box,decide on a movie to watch,0,reversed,reversed_edge,three_way_probe
exchange a shirt for a better size,find the customer service desk,try on alternative sizes,0,reversed,reversed_edge,three_way_probe
buy a new dress for new years eve,figure out which specific one to buy,look up a dress,0,reversed,reversed_edge,three_way_probe
sleep on the back porch,get into bed,turn out lights,0,reversed,reversed_edge,three_way_probe
play basketball throughout high school,practice at home,attend ball practice after school,2,truly_parallel,proscript,three_way_probe
know why religion was so controversial,use the internet to research,ask friends and family for opinions and thoughts,2,truly_parallel,proscript,three_way_probe
learn how to play every instrument,Watch the lessons for every instrument.,Drive to the music store.,1,confirmed,confirmed_edge,three_way_probe
learn how to breakdance,Study the videos,Find a large space to dance in,1,confirmed,confirmed_edge,three_way_probe
build a giant snowman,Put carrot and rocks in center of the small ball,Put the scarf around the connection between the balls,2,truly_parallel,proscript,three_way_probe
plant seeds after the winter,buy sees packets,take seeds home,1,confirmed,confirmed_edge,three_way_probe
see a doctor,call in sick,schedule the doctor's appointment,1,confirmed,confirmed_edge,three_way_probe
make a living performing,do research on different performances,decide on a performance,1,confirmed,confirmed_edge,three_way_probe
go on a vacation in another country,Pack for the trip,Update passport and vaccines,0,reversed,reversed_edge,three_way_probe
start an apple orchard,purchase apple seeds,purchase a shovel,2,truly_parallel,proscript,three_way_probe
spend time outside,disengage the latch mechanism for the exit.,arrive at the exit.,0,reversed,reversed_edge,three_way_probe
help raise money for public television,Sign up for an event,Drive to the event,1,confirmed,confirmed_edge,three_way_probe
make a sandwich,Drive to the grocery store,Purchase the groceries,1,confirmed,confirmed_edge,three_way_probe
audition for the school play,Practice reading lines before bed,Practice reading lines with friends,2,truly_parallel,proscript,three_way_probe
sit in the front seat of the car,put clothes on,take a shower,0,reversed,reversed_edge,three_way_probe
make a smoothie,Take the ingredients home,Put ingredients in a blender,1,confirmed,confirmed_edge,three_way_probe
sing in the choir,practice an audition song,pick an audition song,0,reversed,reversed_edge,three_way_probe
paint some plaster,Apply plaster to walls,Allow plaster to dry without touching.,1,confirmed,confirmed_edge,three_way_probe
get new socks,open front door,obtain house keys,0,reversed,reversed_edge,three_way_probe
make some cookies,Scoop cookie dough onto cookie tray,Set cookie tray with parchment paper,0,reversed,reversed_edge,three_way_probe
learn how to speak Spanish,study Spanish lessons,go to Duolingo,0,reversed,reversed_edge,three_way_probe
make pasta with fresh mushrooms,take out a cutting board and knife,put two pots on the stove,2,truly_parallel,proscript,three_way_probe
live a healthier lifestyle,throw out all the candy in the house,purchase a selection of vegetables,2,truly_parallel,proscript,three_way_probe
buy a new doll from the store,walk to the car,drive to the store,1,confirmed,confirmed_edge,three_way_probe
work at a bank,get the call for the interview,drive to the bank,1,confirmed,confirmed_edge,three_way_probe
buy gifts for needy children,drive to the store,determine what gifts are needed,0,reversed,reversed_edge,three_way_probe
sleep on the back porch,clear out a sleeping space,say goodnight to everyone,1,confirmed,confirmed_edge,three_way_probe
have a house party,Make a list of potential guests,Shop for  refreshments,2,truly_parallel,proscript,three_way_probe
have a sleepover,make a list of friends to invite to sleepover,pick up cellphone,1,confirmed,confirmed_edge,three_way_probe
go to the swap shop,pick out the best shop,check reviews for shops,0,reversed,reversed_edge,three_way_probe
try investing money,find items to invest in,create a new account,2,truly_parallel,proscript,three_way_probe
get their computers ready,Turn on each computer,Plug each computer in,0,reversed,reversed_edge,three_way_probe
see the natural beauty of Maine,buy road map of Maine,drive toward Maine,1,confirmed,confirmed_edge,three_way_probe
have a pet frog,Find local pet stores,Get ready to go out,1,confirmed,confirmed_edge,three_way_probe
make some wine,Set the container somewhere dark,Let the container sit for weeks,1,confirmed,confirmed_edge,three_way_probe
find a new book to read,search sci-fi isle,search fiction isle,2,truly_parallel,proscript,three_way_probe
go to NYC at christmas time,get on airplane,arrive at airport,0,reversed,reversed_edge,three_way_probe
go back to school,Get list of books needed,Buy books needed,1,confirmed,confirmed_edge,three_way_probe
join a club,Drive to the next meeting.,Sit through the meeting.,1,confirmed,confirmed_edge,three_way_probe
eat some french fries,drive home from the store,purchase frozen french fries,0,reversed,reversed_edge,three_way_probe
have a pet cat,Buy a litter box,Buy cat food,2,truly_parallel,proscript,three_way_probe
have some fun,drive to the mall,walk into the mall,1,confirmed,confirmed_edge,three_way_probe
get more involved,join a group of other parents,ask questions about the child's day,2,truly_parallel,proscript,three_way_probe
knit a sweater,Browse knitting material,Go to a craft store,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,purchase lean white meats,purchase a selection of vegetables,2,truly_parallel,proscript,three_way_probe
take up golfing,Buy some equipment.,Browse the equipment.,0,reversed,reversed_edge,three_way_probe
make a fort,find a fort location,brainstorm a fort construction,2,truly_parallel,proscript,three_way_probe
lose 20 pounds before summer,See a doctor,Get a good diet plan,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,talk to local authorities on the matter,ask friends and family for opinions and thoughts,2,truly_parallel,proscript,three_way_probe
have a nerf gun war,take nerf gun ammo out of the closet,take nerf guns out of the closet,2,truly_parallel,proscript,three_way_probe
catch some fish for food storage for winter,Drive to the nearby streams.,Unpack the equipment,1,confirmed,confirmed_edge,three_way_probe
get across town to the store,find socks and shoes,put on left sock,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,watch movies on religion,ask friends and family for opinions and thoughts,2,truly_parallel,proscript,three_way_probe
bake some chocolate cookies,gather all ingredients together,find a large mixing bowl,2,truly_parallel,proscript,three_way_probe
learn how to line dance,Go to the dance class,Listen to and watch the teacher,1,confirmed,confirmed_edge,three_way_probe
form a gang,find a bunch of friends with the same creed,find a people from same side of the tracks,2,truly_parallel,proscript,three_way_probe
have a house party,Select music for the party,Make a list of potential guests,2,truly_parallel,proscript,three_way_probe
do well on the upcoming test,Go to the location of the test,Sit down to take the test,1,confirmed,confirmed_edge,three_way_probe
escape from prison,Steal a spoon from the cafeteria,Watch the guards to learn the schedule,2,truly_parallel,proscript,three_way_probe
donate to charity,Enter financial information,Enter the amount to donate,2,truly_parallel,proscript,three_way_probe
learn how to eat with chopsticks,Pick up chopsticks.,Position chopsticks between thumb and index finger.,1,confirmed,confirmed_edge,three_way_probe
learn an instrument,Decide on what instrument to play,Go to local store,1,confirmed,confirmed_edge,three_way_probe
go on a vacation in another country,Arrive at airport and board plan.,Pack for the trip,0,reversed,reversed_edge,three_way_probe
open a checking account,wait for the bank to process the paperwork,order paper checks,1,confirmed,confirmed_edge,three_way_probe
find the killer for the most recent murder,interview the witnesses,look over the crime scene,2,truly_parallel,proscript,three_way_probe
do well on the upcoming test,Learn what topic the text is on,Do research on the topic,1,confirmed,confirmed_edge,three_way_probe
learn more about human anatomy,look up books on human anatomy,pick a book to read,1,confirmed,confirmed_edge,three_way_probe
sleep on the back porch,find pillows and blankets,say goodnight to everyone,2,truly_parallel,proscript,three_way_probe
catch some fish for food storage for winter,Buy fishing equipment.,Get a fishing license.,0,reversed,reversed_edge,three_way_probe
leave the house,Put outside clothing on,Decide where to go,0,reversed,reversed_edge,three_way_probe
save enough money for a new car,Figure out a way to cut expenses.,Work extra jobs.,1,confirmed,confirmed_edge,three_way_probe
purchase a new car,arrange financing for the car,Sign the papers and drive,1,confirmed,confirmed_edge,three_way_probe
learn to back flip,Take notes on what to do.,Search the Internet on how to back flip.,0,reversed,reversed_edge,three_way_probe
build a swing set in their backyard,follow instructions in assembly guide,check to make sure everything's secure,1,confirmed,confirmed_edge,three_way_probe
make chicken curry,go to the produce department,pay for all the food,1,confirmed,confirmed_edge,three_way_probe
get more involved,talk to the child's teachers,join a group of other parents,2,truly_parallel,proscript,three_way_probe
buy an XBox 1,research the different consoles,read the reviews,2,truly_parallel,proscript,three_way_probe
sing in the choir,practice an audition song,audition for the choir,1,confirmed,confirmed_edge,three_way_probe
join the basketball team,Leave a good impression on the coach,Turn up at tryout,0,reversed,reversed_edge,three_way_probe
build a snowman,put on gloves,put on coat,2,truly_parallel,proscript,three_way_probe
go to the local water park,Put on swim suit,Search online for local water park,2,truly_parallel,proscript,three_way_probe
go to a party that weekend,try on outfits,choose an outfit,1,confirmed,confirmed_edge,three_way_probe
learn how to speak Spanish,study Spanish lessons,practice Spanish online,2,truly_parallel,proscript,three_way_probe
order shoes online,Check out with shipping information.,Add shoes to basket,0,reversed,reversed_edge,three_way_probe
go back to school,Organize school supplies and books,Buy books needed,0,reversed,reversed_edge,three_way_probe
give up chocolate for Lent,Make a pact with family to stick to the plan.,Accomplish the goal and feel healthy,1,confirmed,confirmed_edge,three_way_probe
join a dance class,turn on computer,sit down at computer,0,reversed,reversed_edge,three_way_probe
earn some cash over the summer,when prompted go to homes and do odd jobs,disperse the flyers around the neighborhood,0,reversed,reversed_edge,three_way_probe
get in better shape,write down an exercise regime,make a list of healthy foods,2,truly_parallel,proscript,three_way_probe
make some wine,Let the container sit for weeks,siphon liquid into bottles,1,confirmed,confirmed_edge,three_way_probe
buy a denim jacket,decide to buy a denim jacket,get in car,1,confirmed,confirmed_edge,three_way_probe
learn how to make candy,release candy from molds and eat,set candy in molds to firm,0,reversed,reversed_edge,three_way_probe
participate in a chess tournament,go to the chair when name is called,play against opponent,1,confirmed,confirmed_edge,three_way_probe
play the piano,find sheet music to play,sit down at the piano,1,confirmed,confirmed_edge,three_way_probe
find a part time job,Search for job forums,Upload a resume,1,confirmed,confirmed_edge,three_way_probe
play a video game,Buy a video game,Buy a video game console,2,truly_parallel,proscript,three_way_probe
prepare for the storm that was coming,buy supplies for storm,go back home,1,confirmed,confirmed_edge,three_way_probe
find a new book to read,search sci-fi isle,choose the book,1,confirmed,confirmed_edge,three_way_probe
get more involved,ask questions about the child's day,talk to the child's teachers,2,truly_parallel,proscript,three_way_probe
do research about dolphins,click on links to articles about dolphins,swim with the dolphins,1,confirmed,confirmed_edge,three_way_probe
start a comic book,Decide on a setting,Decide on characters for the story,2,truly_parallel,proscript,three_way_probe
see the banana plantations,Search the Internet for nearby plantations,Find the operating hours,1,confirmed,confirmed_edge,three_way_probe
earn a pizza party at school,Suggest the pizza party idea to the teacher,Come to an agreement,1,confirmed,confirmed_edge,three_way_probe
pick apples in Vermont,book flight to place,look up apple orchids,1,confirmed,confirmed_edge,three_way_probe
join a club,Drive to the next meeting.,Find club hours.,0,reversed,reversed_edge,three_way_probe
go shopping after work,drive to the store after work,pick out items,1,confirmed,confirmed_edge,three_way_probe
learn a new language,call to enroll into classes,look for local classes,0,reversed,reversed_edge,three_way_probe
go to the store,put on shoes,grab car keys,2,truly_parallel,proscript,three_way_probe
try the new frozen yogurt place,read the menu,drive to the store,0,reversed,reversed_edge,three_way_probe
bake some chocolate chip cookies,place on tray 2 inches apart,roll into balls,0,reversed,reversed_edge,three_way_probe
make some cookies,Preheat the oven,Set cookie tray with parchment paper,2,truly_parallel,proscript,three_way_probe
play a video game,Put the game in the console,Hit the play button,1,confirmed,confirmed_edge,three_way_probe
learn how to line dance,Sign up for a dance class,Learn to love country music,0,reversed,reversed_edge,three_way_probe
find a new book to read,search fiction isle,search sci-fi isle,2,truly_parallel,proscript,three_way_probe
make sure the party was a huge success,Set up the food,Set up the party decorations,2,truly_parallel,proscript,three_way_probe
start a record label,look online at the county's web site,decide on a record label name,0,reversed,reversed_edge,three_way_probe
have a family dinner,Call family members,Invite family to dinner,1,confirmed,confirmed_edge,three_way_probe
start a comic book,Decide on a setting,Think of an idea for a story,2,truly_parallel,proscript,three_way_probe
take a vacation this year,Choose a vacation spot,Research vacation spots,0,reversed,reversed_edge,three_way_probe
start a website,Choose a domain name,Research website hosts,0,reversed,reversed_edge,three_way_probe
simulate a data set,Begin replicating tests,Load up data,0,reversed,reversed_edge,three_way_probe
buy a bike for a long time,Decide on a bike to purchase,Research bikes online,0,reversed,reversed_edge,three_way_probe
learn figure drawing,Locate an eraser,Obtain blank paper,2,truly_parallel,proscript,three_way_probe
work at a ramen shop,Write a cover letter,Write a resume,2,truly_parallel,proscript,three_way_probe
learn to make pot pies,make the potpies,bake the potpies,1,confirmed,confirmed_edge,three_way_probe
get well fast,pick up medicine,go to the store,0,reversed,reversed_edge,three_way_probe
earn some cash over the summer,disperse the flyers around the neighborhood,print the flyers,0,reversed,reversed_edge,three_way_probe
go to the store,grab car keys,make a list of things to buy,2,truly_parallel,proscript,three_way_probe
start a Notary business,get financing from a bank,Buy the property,1,confirmed,confirmed_edge,three_way_probe
go on a hike,Choose a trail to hike,Print out directions to the trail,1,confirmed,confirmed_edge,three_way_probe
give back to the world,volunteer for eco friendly organizations,regularly donate to charities,2,truly_parallel,proscript,three_way_probe
go to the library downtown,check the bus schedule online,put on shoes and clothing,2,truly_parallel,proscript,three_way_probe
have a house party,Select music for the party,Shop for  refreshments,2,truly_parallel,proscript,three_way_probe
attend a wine tasting,Make a reservation,Get directions to event,1,confirmed,confirmed_edge,three_way_probe
participate in a chess tournament,run through possible strategies,find a spot to wait until turn,2,truly_parallel,proscript,three_way_probe
get into gardening,Drive to local garden center,Buy tools at store,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,ask friends and family for opinions and thoughts,talk to local authorities on the matter,2,truly_parallel,proscript,three_way_probe
run a marathon,Wait for race day,Sign up for a marathon race,0,reversed,reversed_edge,three_way_probe
make an apple pie,buy ingredients for the pie,measure ingredients for the pie,1,confirmed,confirmed_edge,three_way_probe
look good for a dance,Dry and style hair,Take a shower and wash hair,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,throw out all the candy in the house,purchase lean white meats,2,truly_parallel,proscript,three_way_probe
have a child,carry baby in stomach,become pregnant from sleeping with person,0,reversed,reversed_edge,three_way_probe
do something crazy,Find something crazy to do that is safe.,Find something crazy that is doable.,2,truly_parallel,proscript,three_way_probe
sing songs for a living,go to college for music,take voice lessons,2,truly_parallel,proscript,three_way_probe
learn to ride a horse,find nearby stables,sign up for lessons,1,confirmed,confirmed_edge,three_way_probe
participate in a chess tournament,go to the chair when name is called,run through possible strategies,0,reversed,reversed_edge,three_way_probe
learn to whistle,Ask people who know how to whistle,Watch videos online about whistling,2,truly_parallel,proscript,three_way_probe
find a wife,pay for woman to fly out to location,wait at the airport with a marriage contract,1,confirmed,confirmed_edge,three_way_probe
go on a vacation in another country,Update passport and vaccines,Research the country,0,reversed,reversed_edge,three_way_probe
do something exciting,go to the destination,enter the place,1,confirmed,confirmed_edge,three_way_probe
learn how to play the guitar,Get guitar out,watch video lessons,2,truly_parallel,proscript,three_way_probe
go pick up groceries for dinner,get in car and go to store,walk into store,1,confirmed,confirmed_edge,three_way_probe
make more money,Search for local jobs on computer.,Determine which jobs qualified for.,1,confirmed,confirmed_edge,three_way_probe
see the school counselor,Use the library computer to pull up the schools website.,Click on the faculty tab.,1,confirmed,confirmed_edge,three_way_probe
take a trip to the beach,Walk to beach.,Park car at beach lot.,0,reversed,reversed_edge,three_way_probe
go to Spain,drive to the airport,purchase a plane ticket,0,reversed,reversed_edge,three_way_probe
get to the grocery store,gather the grocery bags,get a grocery cart,2,truly_parallel,proscript,three_way_probe
attend gym today,Find one that has compatible hours.,Compare gym prices.,2,truly_parallel,proscript,three_way_probe
buy a purple blouse,purchase the blouse and take  home,find the purple blouse,0,reversed,reversed_edge,three_way_probe
see the natural beauty of Maine,get car inspected,buy road map of Maine,1,confirmed,confirmed_edge,three_way_probe
start Varsity football,practice football at home,play on the regular teams,2,truly_parallel,proscript,three_way_probe
give up chocolate for Lent,Pray and abstain from chocolate,Accomplish the goal and feel healthy,1,confirmed,confirmed_edge,three_way_probe
see the whole universe,Drift silently through space without fuel,Travel from planet to planet,0,reversed,reversed_edge,three_way_probe
sail the seven seas,ask boat captain to join the crew,look around for promising boat,0,reversed,reversed_edge,three_way_probe
go to school today,get out of bed,turn off alarm,2,truly_parallel,proscript,three_way_probe
get a cheeseburger,go to restaurant,put on clothes,0,reversed,reversed_edge,three_way_probe
have a birthday party,make food for the party,decorate the location for the party,2,truly_parallel,proscript,three_way_probe
go see the new movie in town,Read the list of movies currently being shown,Pick out a movie that is new,1,confirmed,confirmed_edge,three_way_probe
make some chicken tenders for supper,lay down tinfoil,arrange chicken nuggets,1,confirmed,confirmed_edge,three_way_probe
buy a bike for a long time,Decide on a bike to purchase,Wait for the bike to be delivered,1,confirmed,confirmed_edge,three_way_probe
start an apple orchard,go to a local gardening store,purchase apple seeds,1,confirmed,confirmed_edge,three_way_probe
rent a cabin,go to the internet,plan vacation with others,2,truly_parallel,proscript,three_way_probe
take the SATs in order to get into college,pick up a number two pencil,sit down at a desk,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,purchase lean white meats,purchase a selection of fruits,2,truly_parallel,proscript,three_way_probe
get a dog,look up shelters online,ask parents for a dog,2,truly_parallel,proscript,three_way_probe
look good for a dance,Put on makeup,Put on underwear,2,truly_parallel,proscript,three_way_probe
donate to charity,Enter the amount to donate,Enter financial information,2,truly_parallel,proscript,three_way_probe
get a pet,Get directions and hours of operation,Check which local shelters are nearby,0,reversed,reversed_edge,three_way_probe
start taking a lunch to school,Pack lunch once finish cooking,prepare and cook meal at home,0,reversed,reversed_edge,three_way_probe
own a small business,make a business plan,find a location that is good,1,confirmed,confirmed_edge,three_way_probe
go to Greece,Pack up suitcases,Drive to the airport,1,confirmed,confirmed_edge,three_way_probe
buy bread at the store,walk in the store,find the bread section,1,confirmed,confirmed_edge,three_way_probe
live a healthier lifestyle,purchase a selection of vegetables,purchase a selection of fruits,2,truly_parallel,proscript,three_way_probe
make some brownies,Get out a mixing bowl,Preheat the oven,0,reversed,reversed_edge,three_way_probe
go on the school field trip,Put in back pack,Pack a lunch,0,reversed,reversed_edge,three_way_probe
find a new book to read,take book to cashier,pay for the book,1,confirmed,confirmed_edge,three_way_probe
start a company,Decide on a company name,Decide the company's field,2,truly_parallel,proscript,three_way_probe
go on a rollercoaster,Order tickets online.,Drive to the park.,1,confirmed,confirmed_edge,three_way_probe
throw the best Halloween party,place a lighted jack-o-lantern on the porch,purchase assorted scary decorations,2,truly_parallel,proscript,three_way_probe
start to eat healthy,make a list of groceries,go to the store for the groceries,1,confirmed,confirmed_edge,three_way_probe
get well fast,go to the store,pick up medicine,1,confirmed,confirmed_edge,three_way_probe
get in better shape,do exercises off the list each day,track fitness progress with an app,1,confirmed,confirmed_edge,three_way_probe
go on the school field trip,Return signed permission slip to school,Pack a lunch,1,confirmed,confirmed_edge,three_way_probe
buy a cheap pair of shoes,get in the car,drive to a cheap shoe store,1,confirmed,confirmed_edge,three_way_probe
make a living performing,work for free,study performing with mentors,2,truly_parallel,proscript,three_way_probe
give up chocolate for Lent,Talk with the priest.,Pray and abstain from chocolate,1,confirmed,confirmed_edge,three_way_probe
throw a party,gather party supplies,gather food for party,2,truly_parallel,proscript,three_way_probe
get more involved,ask questions about the child's day,plan activities together,2,truly_parallel,proscript,three_way_probe
go home for the holidays,Pack clothes and items for trip.,Schedule days off work.,0,reversed,reversed_edge,three_way_probe
know why religion was so controversial,read books on religion,use the internet to research,2,truly_parallel,proscript,three_way_probe
head to the park,get dress for the park,look up directions to the park,1,confirmed,confirmed_edge,three_way_probe
build a snowman,start rolling snow into large balls,walk outside into the yard,0,reversed,reversed_edge,three_way_probe
plant a tomato plant,Purchase potting soil and a pot.,Purchase tomato seedling.,2,truly_parallel,proscript,three_way_probe
make pasta with fresh mushrooms,go to the store,"buy mushrooms, pasta, and sauce",1,confirmed,confirmed_edge,three_way_probe
play the piano,warm up on the piano,play the music on the piano,1,confirmed,confirmed_edge,three_way_probe
get out of the house,Turn the handle,Open the  door,1,confirmed,confirmed_edge,three_way_probe
make some chicken tenders for supper,get out baking pan,lay down tinfoil,1,confirmed,confirmed_edge,three_way_probe
collect bacteria samples,Close the plastic bag,Place the sample inside a clean plastic bag,0,reversed,reversed_edge,three_way_probe
try making bagels,Take notes on how to make bagels.,Drive to the store.,1,confirmed,confirmed_edge,three_way_probe
learn to bake a cake,Choose a popular video.,Search for baking cakes.,0,reversed,reversed_edge,three_way_probe
make a good impression at the upcoming dance,go to store,practice etiquette at home,2,truly_parallel,proscript,three_way_probe
get across town to the store,put on right sock,put on left sock,2,truly_parallel,proscript,three_way_probe
speak a lot of languages,Wait for delivery,Open and unpack books,1,confirmed,confirmed_edge,three_way_probe
bake from scratch,turn on stove or oven,get out pots and pans,2,truly_parallel,proscript,three_way_probe
make homemade potato chips,scrub and peel potatoes,look up a potato chip recipe,0,reversed,reversed_edge,three_way_probe
go to the store,put on shoes,leave the house,1,confirmed,confirmed_edge,three_way_probe
make homemade pizza,spread dough on pizza pan,mix ingredients to make dough,0,reversed,reversed_edge,three_way_probe
have a house party,Shop for  refreshments,Make a list of potential guests,2,truly_parallel,proscript,three_way_probe
learn to french braid,Watch a tutorial on french braiding,Go online with browser,0,reversed,reversed_edge,three_way_probe
lose 20 pounds before summer,Check the scale,Practice healthy eating,0,reversed,reversed_edge,three_way_probe
try to skateboard,Wait for skateboard to arrive.,Unpack skateboard package.,1,confirmed,confirmed_edge,three_way_probe
know why religion was so controversial,watch movies on religion,talk to local authorities on the matter,2,truly_parallel,proscript,three_way_probe
buy a dog,Pick out a dog,Drive to the pound,0,reversed,reversed_edge,three_way_probe
get a brand new TV,drive to an electronics store,look at reviews for televisions,2,truly_parallel,proscript,three_way_probe
buy a purple blouse,drive to the store,find a store close that has the blouse,0,reversed,reversed_edge,three_way_probe
start a comic book,Storyboard the story,Draw the final artwork and letter in the dialog,1,confirmed,confirmed_edge,three_way_probe
go back to school,Organize school supplies and books,Go to store and buy school supplies,0,reversed,reversed_edge,three_way_probe
make a smoothie,Drive to the store,Pick out smoothie ingredients,1,confirmed,confirmed_edge,three_way_probe
buy a puppy,choose a dog,take the dog to the cashier,1,confirmed,confirmed_edge,three_way_probe
have some fun,decide to have some fun,take a shower,1,confirmed,confirmed_edge,three_way_probe
put away some blocks,Pick up bin to put blocks in,Scan area for block pieces,2,truly_parallel,proscript,three_way_probe
have a birthday party,decide on a location for the party,invite people to the party,2,truly_parallel,proscript,three_way_probe
have a nerf gun war,scatter in all directions,hide behind trees and buildings,2,truly_parallel,proscript,three_way_probe
win the lottery,ask to buy a lottery ticket from clerk,pick numbers for the ticket,1,confirmed,confirmed_edge,three_way_probe
make chicken noodle soup,buy chicken noodle soup at the store,drive back home,1,confirmed,confirmed_edge,three_way_probe
take up golfing,See what the operational hours are.,Search online for local golf courses.,0,reversed,reversed_edge,three_way_probe
learn to ride a horse,sign up for lessons,go to first lesson,1,confirmed,confirmed_edge,three_way_probe
try every flavor of ice cream at the shop,Drive to ice cream shop,Enter ice cream shop,1,confirmed,confirmed_edge,three_way_probe
live debt free,Cut back spending on unnecessary items,"Account for every penny you're spending, daily",0,reversed,reversed_edge,three_way_probe
work at a bank,drive to the bank,get the call for the interview,0,reversed,reversed_edge,three_way_probe
know why religion was so controversial,use the internet to research,read news articles about religion,2,truly_parallel,proscript,three_way_probe
start a book club,Pick out a book to read each week.,Pick a time and a place to meet every week.,2,truly_parallel,proscript,three_way_probe
go to clown school,Determine which clown school to attend.,Search for local clown schools.,0,reversed,reversed_edge,three_way_probe
start teaching piano lessons,find a student,create an ad,0,reversed,reversed_edge,three_way_probe
play varsity football,Start practicing with friends,Find the coach of the team,1,confirmed,confirmed_edge,three_way_probe
learn how to ballroom dance,call and make appointment to meet teacher,search on line for a ballroom teacher,0,reversed,reversed_edge,three_way_probe
make a fort,brainstorm a fort construction,find a fort location,2,truly_parallel,proscript,three_way_probe
do something crazy,Find something crazy that is doable.,Find something crazy to do that is safe.,2,truly_parallel,proscript,three_way_probe
know why religion was so controversial,read books on religion,ask friends and family for opinions and thoughts,2,truly_parallel,proscript,three_way_probe
have a child,carry baby in stomach,go into labor,1,confirmed,confirmed_edge,three_way_probe
make more money,Put in applications to places hiring.,Determine which jobs qualified for.,0,reversed,reversed_edge,three_way_probe
leave the house,Find keys and wallet,Put outside clothing on,2,truly_parallel,proscript,three_way_probe
leave the house,Find keys and wallet,Step outside the home,1,confirmed,confirmed_edge,three_way_probe
find a new book to read,choose the book,search sci-fi isle,0,reversed,reversed_edge,three_way_probe
replace a closet door,Gather tools needed,Go back home,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,purchase lean white meats,throw out all the candy in the house,2,truly_parallel,proscript,three_way_probe
get a new library card,Look up local library,Go to the car,1,confirmed,confirmed_edge,three_way_probe
find a vaccine for the virus,enroll in university,take lots of classes,1,confirmed,confirmed_edge,three_way_probe
escape from prison,Watch the guards to learn the schedule,Get the plans for the prison,2,truly_parallel,proscript,three_way_probe
lose a few pounds over the summer,set new weight goal,develop exercise plan,1,confirmed,confirmed_edge,three_way_probe
visit the beach,Pack a beach bag with supplies.,Drive to the beach early.,1,confirmed,confirmed_edge,three_way_probe
get a new hat,turn car on.,drive to a clothing store.,1,confirmed,confirmed_edge,three_way_probe
live a healthier lifestyle,throw out all the snack foods,purchase a selection of vegetables,2,truly_parallel,proscript,three_way_probe
make chicken curry,find the spice aisle,pay for all the food,1,confirmed,confirmed_edge,three_way_probe
go to class because an oral report was due,Write cue cards,Practice what to say,1,confirmed,confirmed_edge,three_way_probe
learn to play the drums,Search the internet for lessons.,Go to the music store.,2,truly_parallel,proscript,three_way_probe
add a new product,Put appropriate labels on the shelf for the new product,Go to the back room,2,truly_parallel,proscript,three_way_probe
make extra money before college started,Choose a job from offers received,Work at the job to get money,1,confirmed,confirmed_edge,three_way_probe
learn to dance in time for prom,Go to a few more classes and learn more,Start learning basic moves,0,reversed,reversed_edge,three_way_probe
pry open a frozen car door,Hit ice with crow bar,Pour water on frozen door to loosen,0,reversed,reversed_edge,three_way_probe
eat Chinese food,Wait for food to come.,Eat the food.,1,confirmed,confirmed_edge,three_way_probe
have a daughter,Have sex without protection,Become officially pregnant,1,confirmed,confirmed_edge,three_way_probe
have a family dinner,Drive to grocery store,Call family members,2,truly_parallel,proscript,three_way_probe
get more involved,plan activities together,be on the lookout for unexplained shifts in behavior,2,truly_parallel,proscript,three_way_probe
play the trombone,pick out some sheet music to play,find trombone in the house,2,truly_parallel,proscript,three_way_probe
get unique shoes that would standout at school,turn on computer,search websites for unique pair of shoes,1,confirmed,confirmed_edge,three_way_probe
start an apple orchard,purchase a long hose,purchase apple seeds,2,truly_parallel,proscript,three_way_probe
go to a live music venue,Put on the clothes,Find appropriate clothing to wear.,0,reversed,reversed_edge,three_way_probe
get a six pack,get a personal trainer,setup weekly sessions,1,confirmed,confirmed_edge,three_way_probe
make some cookies,Set cookie tray with parchment paper,Preheat the oven,2,truly_parallel,proscript,three_way_probe
build a giant snowman,get dressed in warm clothes,Go outside in an open area,1,confirmed,confirmed_edge,three_way_probe
build a plane,put materials together,find a space to construct plane,0,reversed,reversed_edge,three_way_probe
live a healthier lifestyle,purchase a selection of fruits,throw out all the snack foods,2,truly_parallel,proscript,three_way_probe
have a nerf gun war,hide behind trees and buildings,pass out the nerf guns and ammo,0,reversed,reversed_edge,three_way_probe
build a giant snowman,"Get a scarf, a carrot, and rocks",get dressed in warm clothes,2,truly_parallel,proscript,three_way_probe
get a brand new TV,find a salesperson to ask about the TVs,look through the selection of TVs,2,truly_parallel,proscript,three_way_probe
