goal,a,b,label,edge_type,source
go to work,brush teeth and wash up,grab briefcase and car keys and lock house,1,confirmed,confirmed_edge
go to clown school,Determine which clown school to attend.,Search for local clown schools.,0,reversed,reversed_edge
own a dog,look at the different dogs,pick a dog,1,confirmed,confirmed_edge
have a family dinner,Call family members,Prepare meal using groceries,2,flexible,incomparable_pair
learn more about human anatomy,look up books on human anatomy,pick a book to read,1,confirmed,confirmed_edge
throw the best Halloween party,print out invitations on festive paper,place a lighted jack-o-lantern on the porch,2,flexible,incomparable_pair
have a house party,Clean the house,Select music for the party,2,flexible,incomparable_pair
throw the best Halloween party,place bowls of candy out around the house,purchase assorted scary decorations,2,flexible,incomparable_pair
gather persimmons where the trees grow wild in the woods,Park car/look for persimmons.,Drive to location of wild trees.,0,reversed,reversed_edge
get a job delivering papers,create a resume,apply to newspaper jobs,1,confirmed,confirmed_edge
get away for a weekend,Google areas in state to visit.,Pick out place to travel.,1,confirmed,confirmed_edge
purchase new living room furniture,drive to IKEA,find the furniture section needed,1,confirmed,confirmed_edge
go out for frozen yogurt,Pick up phone,Pull up directions to FroYo place,1,confirmed,confirmed_edge
spend time outside,disengage the latch mechanism for the exit.,arrive at the exit.,0,reversed,reversed_edge
go to a new club everyone was talking about,Get into and start vehicle,Input directions into phone for gps,0,reversed,reversed_edge
leave the house,Check the mirror,Find keys and wallet,2,flexible,incomparable_pair
go bike riding,close garage door,get on bike,1,confirmed,confirmed_edge
start teaching piano lessons,buy a piano,practice piano frequently,1,confirmed,confirmed_edge
have some fun,get dressed to go out,drive to the mall,1,confirmed,confirmed_edge
bake some chocolate chip cookies,bake in an oven,place on tray 2 inches apart,0,reversed,reversed_edge
see the whole universe,Travel into space via spaceship,Travel from planet to planet,1,confirmed,confirmed_edge
make pasta with fresh mushrooms,take out a cutting board and knife,put two pots on the stove,2,flexible,incomparable_pair
crochet a scarf,Weave hook under yarn.,Weave desired pattern in this fashion.,1,confirmed,confirmed_edge
go shopping after work,drive to the store after work,pick out items,1,confirmed,confirmed_edge
have a child,carry baby in stomach,go into labor,1,confirmed,confirmed_edge
get more involved,join a group of other parents,be ready to listen all the time,2,flexible,incomparable_pair
throw the best Halloween party,purchase assorted scary decorations,send out invitations,2,flexible,incomparable_pair
learn to paint,Sign up for lessons,Purchase art supplies,2,flexible,incomparable_pair
bake a delicious peach pie,drive home from grocery store,buy ingredients needed for peach pie,0,reversed,reversed_edge
start a Babysitters Club like in the books,print out bright colored flyers,call friends together with invitations,2,flexible,incomparable_pair
learn how to bake a loaf of bread,Find a recipe in the book.,Buy a book on bread making.,0,reversed,reversed_edge
turn in a big project on Monday,Compile ideas for project,Look up ideas and information online,0,reversed,reversed_edge
own a Jeep,Select the Jeep.,Pay for the Jeep.,1,confirmed,confirmed_edge
mow the lawn today,check that all the parts are still working,make sure mower has enough gas,2,flexible,incomparable_pair
return a pair of pants to the store,walk inside the mall building,walk to the store where the pants came from,1,confirmed,confirmed_edge
attend gym today,Find one that has compatible hours.,Compare gym prices.,2,flexible,incomparable_pair
sing songs for a living,get accepted to music school,apply to music college,0,reversed,reversed_edge
teach horseback riding,Get the horses ready,Wait for people to come to the class,1,confirmed,confirmed_edge
meet a friend,Make plans to meet,Call up friend,0,reversed,reversed_edge
see a doctor,call in sick,schedule the doctor's appointment,1,confirmed,confirmed_edge
make a smoothie,Drive to the store,Pick out smoothie ingredients,1,confirmed,confirmed_edge
go to class because an oral report was due,Write cue cards,Practice what to say,1,confirmed,confirmed_edge
go to the theme park,look up directions,leave the house,1,confirmed,confirmed_edge
build a swing set in their backyard,sort parts into piles,round up tools to use,2,flexible,incomparable_pair
know why religion was so controversial,watch movies on religion,use the internet to research,2,flexible,incomparable_pair
get a new hat,walk up to front door of house.,walk out to car.,1,confirmed,confirmed_edge
donate to charity,Enter financial information,Enter the amount to donate,2,flexible,incomparable_pair
make something special for dinner,go to the store,make a list of ingredients,0,reversed,reversed_edge
get more involved,ask questions about the child's day,talk to the child's teachers,2,flexible,incomparable_pair
put away some blocks,Scan area for block pieces,Pick up bin to put blocks in,2,flexible,incomparable_pair
talk to the new girl in school,When the time is right walk up to her.,Make a plan to approach the girl.,0,reversed,reversed_edge
start a comic book,Write an outline for the story,Decide on a setting,0,reversed,reversed_edge
do a load of laundry,put dirty clothes in washing machine,put laundry soap on top of clothes,1,confirmed,confirmed_edge
start teaching piano lessons,buy a piano,read articles on the piano,2,flexible,incomparable_pair
learn how to play poker like a professional,play poker for friends for money,practice playing poker with friends for fun,0,reversed,reversed_edge
wake up for school,burrow under warm blankets,doze in and out,2,flexible,incomparable_pair
go fishing anymore,Wait for a nice day to go fishing,Buy fishing equipment,2,flexible,incomparable_pair
bake some cupcakes,Drive to the grocery store,Purchase baking supplies,1,confirmed,confirmed_edge
bake some cookies,bake cookies in oven,serve the cookies,1,confirmed,confirmed_edge
start a book club,Pick out a book to read each week.,Tell the friends to join book club.,0,reversed,reversed_edge
own a dog,shop for pet supplies,shop for pet food,2,flexible,incomparable_pair
learn how to dunk,Research equipment to help practice,Google how to increase vertical leap,0,reversed,reversed_edge
learn how to speak Spanish,go to Duolingo,go to internet,0,reversed,reversed_edge
make some wine,Set the container somewhere dark,Smash and strain grapes into container,0,reversed,reversed_edge
earn a pizza party at school,Tell other students about the pizza party,Come to an agreement,0,reversed,reversed_edge
go back to college,Prepare a college application.,Mail in the application.,1,confirmed,confirmed_edge
wait for a bus,Buy a bus pass,Think of a destination to go to,2,flexible,incomparable_pair
make some brownies,Get out a mixing bowl,Put all of the ingredients into the bowl,1,confirmed,confirmed_edge
buy a guitar,Try out guitars,Drive to guitar shop,0,reversed,reversed_edge
start an apple orchard,put seeds in each hole,water the mounds with seeds,1,confirmed,confirmed_edge
get a six pack,attend weekly sessions with trainer,sculpt and tone body as seen fit,1,confirmed,confirmed_edge
take up golfing,Buy some equipment.,See what the operational hours are.,2,flexible,incomparable_pair
know why religion was so controversial,talk to local authorities on the matter,watch movies on religion,2,flexible,incomparable_pair
open a savings account,Grab an ID,Find a bank,0,reversed,reversed_edge
create a video game,Learn to use an existing game engine,Program the game,1,confirmed,confirmed_edge
eat spicy sushi,use chopsticks to add some wasabi,when order arrives grab chopsticks,0,reversed,reversed_edge
go to the local water park,Purchase tickets to park,Get into vehicle,1,confirmed,confirmed_edge
borrow a pencil from the teacher,Raise a hand,Wait for the teacher to notice,1,confirmed,confirmed_edge
put away some blocks,Pick up bin to put blocks in,Scan area for block pieces,2,flexible,incomparable_pair
learn how to play the piano,call piano teacher,find piano teachers,0,reversed,reversed_edge
make Kool Aid to cool down,empty the packet of kool-aid into the pitcher,find a glass pitcher,0,reversed,reversed_edge
expand their business scope,find a school that offers classes,enroll in classes,1,confirmed,confirmed_edge
start an apple orchard,go to a local gardening store,purchase a shovel,1,confirmed,confirmed_edge
have a pet cat,Buy a litter box,Buy cat food,2,flexible,incomparable_pair
bake some chocolate cookies,open recipe book to cookie recipe,find a large mixing bowl,1,confirmed,confirmed_edge
play the trombone,hold trombone up to lips,blow musical notes through mouthpiece,1,confirmed,confirmed_edge
visit the beach,Pick out a spot on the beach.,Find a parking spot.,0,reversed,reversed_edge
learn to paint,Purchase art supplies,Show up for lessons,2,flexible,incomparable_pair
put away some blocks,Push blocks into a pile,Place bin near blocks,2,flexible,incomparable_pair
try making bagels,Take notes on how to make bagels.,Drive to the store.,1,confirmed,confirmed_edge
learn how to eat with chopsticks,Pick up a small object with chopsticks.,Click chopsticks together.,0,reversed,reversed_edge
use social media,Download Facebook from store,Go to app store,0,reversed,reversed_edge
go mountain climbing,hire a guide and instructor,drive to the mountains,1,confirmed,confirmed_edge
take a cruise to the Caribbean,show up for the cruise departure,pack for the cruise,0,reversed,reversed_edge
find a vaccine for the virus,enroll in university,take lots of classes,1,confirmed,confirmed_edge
replace a closet door,Buy new door,Go back home,1,confirmed,confirmed_edge
see a football game,Show the ticket at the front gate,Drive to the game,0,reversed,reversed_edge
get gifts for their children,make a list of gifts for each child,go to the store for gifts,1,confirmed,confirmed_edge
learn to back flip,Set the item up when upon arrival.,Order a trampoline or a foam ball pit.,0,reversed,reversed_edge
build a giant snowman,Put carrot and rocks in center of the small ball,"Get a scarf, a carrot, and rocks",0,reversed,reversed_edge
start a Notary business,get financing from a bank,find a property to locate the business in,2,flexible,incomparable_pair
buy a new dress for new years eve,look up a dress,figure out which specific one to buy,1,confirmed,confirmed_edge
start a Babysitters Club like in the books,call friends together with invitations,purchase snacks for the kids,2,flexible,incomparable_pair
try online dating,message matches that seem good,respond to messages from matches,1,confirmed,confirmed_edge
learn how to play the piano,take piano lessons,practice the piano,1,confirmed,confirmed_edge
get more involved,make time to eat together,plan activities together,2,flexible,incomparable_pair
go on a rollercoaster,Drive to the park.,Wait in line for the roller coaster.,1,confirmed,confirmed_edge
have a house party,Clean the house,greet guests on arrival,1,confirmed,confirmed_edge
get a skin peel at a dermatologist office,Drive to dermatologist's office,Wait for skin peel appointment,0,reversed,reversed_edge
check out the ice cream shop nearby,walk out to car.,get in car.,1,confirmed,confirmed_edge
make a robot,Review equipment needed,Purchase the equipment,1,confirmed,confirmed_edge
have a pet cat,Pick out a cat,Go to the animal shelter,0,reversed,reversed_edge
get more involved,be ready to listen all the time,talk to the child's teachers,0,reversed,reversed_edge
get out of traffic,select option for traffic avoidance,input destination address into GPS,0,reversed,reversed_edge
live a healthier lifestyle,throw out all the candy in the house,purchase a selection of vegetables,2,flexible,incomparable_pair
bake some cupcakes,Purchase baking supplies,Drive to the grocery store,0,reversed,reversed_edge
go to the hardware store for a faucet,pick out a faucet,drive to the hardware store,0,reversed,reversed_edge
add a new product,Put appropriate labels on the shelf for the new product,Go to the back room,2,flexible,incomparable_pair
try every flavor of ice cream at the shop,Speak to attendant,Enter ice cream shop,0,reversed,reversed_edge
wear a shirt,walk to the room,walk towards the closet,1,confirmed,confirmed_edge
pick apples in Vermont,book flight to place,look up apple orchids,1,confirmed,confirmed_edge
go on vacation after studying hard in college,look at hotel prices,go online and look at flights,2,flexible,incomparable_pair
adopt a puppy,browse the dogs for adoption,fill out adoption form,1,confirmed,confirmed_edge
return a pair of pants to the store,walk to the store where the pants came from,stand in line at the register,1,confirmed,confirmed_edge
do research about dolphins,read books on dolphins,interview specialists about dolphins,2,flexible,incomparable_pair
take horseback riding lessons,Grab the reins,Mount the horse,1,confirmed,confirmed_edge
go to class because an oral report was due,Go to class,Give the report,1,confirmed,confirmed_edge
write a book,Pick the topic to write about.,Prepare the work space.,2,flexible,incomparable_pair
play the piano,sit down at the piano,warm up on the piano,1,confirmed,confirmed_edge
have a child,sleep with person,enter a relationship,0,reversed,reversed_edge
get a job delivering papers,call newspapers to follow-up,take part in interview,0,reversed,reversed_edge
get well fast,take the medicine,sleep and relax for a day,1,confirmed,confirmed_edge
create a video game,Learn to use a language that is used in games,Learn to use an existing game engine,2,flexible,incomparable_pair
take anger out on a date,Ask the person out on a date.,Find someone attractive.,0,reversed,reversed_edge
make chicken curry,go to the produce department,get some fresh chicken,2,flexible,incomparable_pair
play with dolls,begin playing with dolls for hours of fun,take the dolls home,0,reversed,reversed_edge
have a dog,Put the dog in the car,Take the dog home,1,confirmed,confirmed_edge
prepare for the storm that was coming,buy supplies for storm,go back home,1,confirmed,confirmed_edge
get well fast,go to the store,pick up medicine,1,confirmed,confirmed_edge
buy a laptop,Open the Internet Browser.,Search the Internet for laptop deals.,1,confirmed,confirmed_edge
get a cheeseburger,pay the cashier,order a cheeseburger,0,reversed,reversed_edge
escape from prison,Dig a tunnel towards nearest place in the fence,Steal a spoon from the cafeteria,0,reversed,reversed_edge
make some brownies,Put all of the ingredients into the bowl,Use a beater to mix together the ingredients,1,confirmed,confirmed_edge
have a family dinner,Drive to grocery store,Invite family to dinner,2,flexible,incomparable_pair
go to a concert on a school night,Look up concert times,Get permission from parents to be out late,0,reversed,reversed_edge
go school clothes shopping,walk to the mall entrance,park the car,0,reversed,reversed_edge
learn how to skateboard,buy a skateboard,try to skateboard,1,confirmed,confirmed_edge
plant a tomato plant,Purchase tomato seedling.,Purchase potting soil and a pot.,2,flexible,incomparable_pair
give back to the world,volunteer to get donations for social causes,regularly donate to charities,2,flexible,incomparable_pair
throw a party,gather party supplies,invite guests to party,0,reversed,reversed_edge
play varsity football,Find the coach of the team,Attend a try out,1,confirmed,confirmed_edge
make a good impression at the upcoming dance,practice etiquette at home,buy formal clothes,2,flexible,incomparable_pair
live a healthier lifestyle,purchase a selection of vegetables,throw out all the candy in the house,2,flexible,incomparable_pair
take a trip to the beach,Get into car.,Determine which beach to visit.,0,reversed,reversed_edge
compete in a Tough Mudder race,Train for the race.,Sign the waiver and pay the fee.,0,reversed,reversed_edge
knit a sweater,Browse knitting material,Go to a craft store,0,reversed,reversed_edge
have a house party,Make a list of potential guests,Shop for  refreshments,2,flexible,incomparable_pair
have a sleepover,call friends and invite to sleepover,pick up cellphone,0,reversed,reversed_edge
let the church know about a fundraiser,call the church,get the person in charge on the line,1,confirmed,confirmed_edge
mow the lawn today,check that all the parts are still working,start the mower,1,confirmed,confirmed_edge
look good for a dance,Dry and style hair,Check the mirror to make sure everything looks good,1,confirmed,confirmed_edge
build a garden last week,shop for gardening supplies,drive the supplies back home,1,confirmed,confirmed_edge
live debt free,"Account for every penny you're spending, daily",Sell things that are unneeded or not useful,2,flexible,incomparable_pair
plant seeds after the winter,dig  a row a few inches deep,sprinkle the seeds into the row,1,confirmed,confirmed_edge
learn how to do gymnastics,Practice basics until mastered.,Enroll in class after talking to teacher.,0,reversed,reversed_edge
make a cake,take out ingredients and equipment,mix the ingredients,1,confirmed,confirmed_edge
do something crazy,Turn on the computer.,Open a web browser.,1,confirmed,confirmed_edge
build a giant snowman,"Get a scarf, a carrot, and rocks",Put carrot and rocks in center of the small ball,1,confirmed,confirmed_edge
do well on the upcoming test,Study the topic until understanding comes,Do research on the topic,0,reversed,reversed_edge
compete in a Tough Mudder race,Search the Internet for a Touchmudder race.,Make sure spots are still open.,1,confirmed,confirmed_edge
win the lottery,go home to wait for drawing,see if the numbers match,1,confirmed,confirmed_edge
learn an instrument,Go to local store,Decide on what instrument to play,0,reversed,reversed_edge
go apple picking,Drive to apple orchard,Choose an apple orchard,0,reversed,reversed_edge
start a Notary business,get financing from a bank,Buy the property,1,confirmed,confirmed_edge
bring a family recipe,make a list of ingredients needed,drive to grocery store,1,confirmed,confirmed_edge
live a healthier lifestyle,throw out all the snack foods,purchase a selection of vegetables,2,flexible,incomparable_pair
go to a concert on a school night,Order a ticket for the concert,Get in a car,1,confirmed,confirmed_edge
go fishing anymore,Buy fishing equipment,Travel to the body of water with the fishing equipment,1,confirmed,confirmed_edge
run a computer program,let the program start up,click the program,0,reversed,reversed_edge
go to Walmart,open the car door,sit in the driver seat,1,confirmed,confirmed_edge
attract more customers,Put together ads for customer attraction.,Record advertising campaign.,1,confirmed,confirmed_edge
bake some cookies,scoop dough onto pan,mix to make dough,0,reversed,reversed_edge
get a portrait done,Make a reservation,Call up photo company,0,reversed,reversed_edge
learn how to play the violin,buy a violin,Research violin teachers,2,flexible,incomparable_pair
get some lunch,Locate the leftovers,Open the fridge,0,reversed,reversed_edge
eat some french fries,drive home from the store,purchase frozen french fries,0,reversed,reversed_edge
save one hundred dollars for a vacation,Browse packaging options,Search for vacation destinations,0,reversed,reversed_edge
have a family dinner,Call family members,Drive to grocery store,2,flexible,incomparable_pair
get more involved,talk to the child's teachers,be on the lookout for unexplained shifts in behavior,2,flexible,incomparable_pair
make pasta with fresh mushrooms,turn on the stove,put two pots on the stove,2,flexible,incomparable_pair
do something exciting,go to the destination,enter the place,1,confirmed,confirmed_edge
bake some chocolate cookies,place spoonfuls of cookies on a baking tray,bake cookie tray in oven,1,confirmed,confirmed_edge
head to the park,get dress for the park,look up directions to the park,1,confirmed,confirmed_edge
get more involved,join a group of other parents,ask questions about the child's day,2,flexible,incomparable_pair
buy a bike for a long time,Decide on a bike to purchase,Wait for the bike to be delivered,1,confirmed,confirmed_edge
have a family dinner,Drive home from store,Invite family inside,2,flexible,incomparable_pair
see SNL while in NYC,Look up SNL showtimes,Order a ticket,1,confirmed,confirmed_edge
have a house party,mingle with guests and chat,greet guests on arrival,0,reversed,reversed_edge
join the cheerleading squad,Practice those routines over and over again,Find out what routines have to be learned,0,reversed,reversed_edge
build a snowman,put on coat,put on boots,2,flexible,incomparable_pair
go to a concert on a school night,Look up concert times,Order a ticket for the concert,1,confirmed,confirmed_edge
get a brand new TV,look through the selection of TVs,find a salesperson to ask about the TVs,2,flexible,incomparable_pair
learn figure drawing,View tutorial online,Find a pencil,1,confirmed,confirmed_edge
get in shape,increase time of activity as the exercise gets easier,do the activity for six months,1,confirmed,confirmed_edge
get in better shape,modify regime and diet based on results,track fitness progress with an app,0,reversed,reversed_edge
join the tennis team,Buy tennis gear from a sporting goods store.,Find someone to play tennis with,2,flexible,incomparable_pair
live a healthier lifestyle,throw out all the snack foods,start prepare healthy dishes for each meal,1,confirmed,confirmed_edge
participate in a chess tournament,go to the chair when name is called,find a spot to wait until turn,0,reversed,reversed_edge
compare songs for a qualification,Load up the second song,Listen to second song,1,confirmed,confirmed_edge
play with dolls,take the dolls home,purchase the dolls,0,reversed,reversed_edge
go home for the holidays,Drive to parents house.,Drive to hometown.,0,reversed,reversed_edge
make extra money before college started,Choose a job from offers received,Interview for jobs,0,reversed,reversed_edge
start a butterfly garden,Locate garden components on Amazon,Research components for butterfly garden.,0,reversed,reversed_edge
get a brand new TV,look at reviews for televisions,drive to an electronics store,2,flexible,incomparable_pair
make an apple pie,buy ingredients for the pie,measure ingredients for the pie,1,confirmed,confirmed_edge
go school clothes shopping,park the car,walk to the mall entrance,1,confirmed,confirmed_edge
go on a scavenger hunt,Note the time and dates.,Drive to the location.,1,confirmed,confirmed_edge
see the school counselor,Use the library computer to pull up the schools website.,Click on the faculty tab.,1,confirmed,confirmed_edge
make more money,Search for local jobs on computer.,Determine which jobs qualified for.,1,confirmed,confirmed_edge
make some bath soap last week,prepare a workspace,mix ingredients together,1,confirmed,confirmed_edge
plant an apple tree,shop for an apple tree,buy an apple tree,1,confirmed,confirmed_edge
go to school today,take a shower,get out of bed,0,reversed,reversed_edge
get more involved,be on the lookout for unexplained shifts in behavior,plan activities together,2,flexible,incomparable_pair
go a haunted mansion,Research local haunted mansions.,Choose haunted mansion to visit.,1,confirmed,confirmed_edge
get out of traffic,open GPS app on phone,input destination address into GPS,1,confirmed,confirmed_edge
wear a shirt,go through the shirts,walk towards the closet,0,reversed,reversed_edge
learn how to garden,Read the gardening books.,Purchase gardening supplies.,0,reversed,reversed_edge
learn how to make candy,secure the necessary ingredients,begin making candy,1,confirmed,confirmed_edge
go to a new restaurant for the first time,Go to the car,Drive to the restaurant,1,confirmed,confirmed_edge
get more involved,plan activities together,be on the lookout for unexplained shifts in behavior,2,flexible,incomparable_pair
make a good impression at the upcoming dance,go to store,practice etiquette at home,2,flexible,incomparable_pair
go to a concert,Purchase concert tickets.,Shower and dress up for the event.,1,confirmed,confirmed_edge
have a family dinner,Invite family to dinner,Purchase groceries for dinner,2,flexible,incomparable_pair
go on a cruise for vacation,Go online with browser,Turn on computer,0,reversed,reversed_edge
learn to bake a cake,Search for baking cakes.,Choose a popular video.,1,confirmed,confirmed_edge
scuba dive in caves,put scuba gear on,dive into the water,1,confirmed,confirmed_edge
buy some ice cream,find spare money,go to the store,1,confirmed,confirmed_edge
find a new girlfriend,Go on dates until a girlfriend is found.,Message date prospects.,0,reversed,reversed_edge
go back to college,See what majors are offered.,Search the Internet for nearby colleges.,0,reversed,reversed_edge
go to the library downtown,board the bus,check the library's hours online,0,reversed,reversed_edge
go on a cruise,book the cruise and package,wait for the departure date,1,confirmed,confirmed_edge
start a butterfly garden,Receive garden items in mail.,Order garden components online.,0,reversed,reversed_edge
compare songs for a qualification,listen to that song,Load up one song,0,reversed,reversed_edge
make a fort,drive to the store,brainstorm a fort construction,0,reversed,reversed_edge
go to NYC at christmas time,look up flights,book flights to destination,1,confirmed,confirmed_edge
learn how to line dance,Go to the dance class,Listen to and watch the teacher,1,confirmed,confirmed_edge
sail the seven seas,drive to the marina,look around for promising boat,1,confirmed,confirmed_edge
have fresh herbs to enjoy year-round,Purchase seeds for herbs,Purchase Soil for the pot,2,flexible,incomparable_pair
learn to play an instrument,sign up for lessons,buy an instrument,0,reversed,reversed_edge
make pasta with fresh mushrooms,put two pots on the stove,drive back home with ingredients,0,reversed,reversed_edge
get out of town this past weekend,get into car,put bag of clothes in car,0,reversed,reversed_edge
get a six pack,sculpt and tone body as seen fit,attend weekly sessions with trainer,0,reversed,reversed_edge
take up golfing,Drive to a local golf store.,See what the operational hours are.,2,flexible,incomparable_pair
go on vacation after studying hard in college,book a hotel,buy plane tickets,2,flexible,incomparable_pair
visit the beach,Pack a cooler of drinks and snacks.,Pack a beach bag with supplies.,2,flexible,incomparable_pair
do a mac & cheese,drain macaroni noodles,boil macaroni noodles,0,reversed,reversed_edge
buy a puppy,pay for the dog,take the dog to the cashier,0,reversed,reversed_edge
learn figure drawing,View tutorial online,Locate an eraser,1,confirmed,confirmed_edge
try fusion cuisine,Go to a computer,Look up fusion cuisine places nearby,1,confirmed,confirmed_edge
build a snowman,put on hat,put on coat,2,flexible,incomparable_pair
see a football game,Choose a seat in the stands,Wait for the game to start,1,confirmed,confirmed_edge
live debt free,Find a way to make extra money,"Account for every penny you're spending, daily",2,flexible,incomparable_pair
take up golfing,Search online for local golf courses.,See what the operational hours are.,1,confirmed,confirmed_edge
throw the best Halloween party,hang up the scary decorations,place a lighted jack-o-lantern on the porch,2,flexible,incomparable_pair
expand their business scope,research the credentials needed,enroll in classes,1,confirmed,confirmed_edge
start taking a lunch to school,prepare and cook meal at home,Pack lunch once finish cooking,1,confirmed,confirmed_edge
take anger out on a date,Find someone attractive.,Find someone single.,2,flexible,incomparable_pair
go on vacation after studying hard in college,buy plane tickets,look at hotel prices,2,flexible,incomparable_pair
take a cruise,Make reservations online,Pack a suit case for the trip,1,confirmed,confirmed_edge
open a checking account,drive to bank,talk to employee about opening a checking account,1,confirmed,confirmed_edge
go to the library downtown,put on shoes and clothing,check the bus schedule online,2,flexible,incomparable_pair
do research about dolphins,go to the local library,use the internet to search,2,flexible,incomparable_pair
start a comic book,Write the story and dialog,Storyboard the story,1,confirmed,confirmed_edge
have a nerf gun war,take nerf gun ammo out of the closet,pass out the nerf guns and ammo,1,confirmed,confirmed_edge
start an apple orchard,purchase apple seeds,purchase a long hose,2,flexible,incomparable_pair
build a giant snowman,Put carrot and rocks in center of the small ball,Put the scarf around the connection between the balls,2,flexible,incomparable_pair
make homemade potato chips,thinly slice potatoes,soak the potatoes in water,1,confirmed,confirmed_edge
go fishing anymore,Wait for a nice day to go fishing,Find a body of water nearby,2,flexible,incomparable_pair
head to the park,look up directions to the park,get dress for the park,0,reversed,reversed_edge
make homemade pizza,spread dough on pizza pan,mix ingredients to make dough,0,reversed,reversed_edge
learn how to do parkour,go to the gym and practice skills,join a parkour group,0,reversed,reversed_edge
purchase a new car,test drive cars,select car wanted,1,confirmed,confirmed_edge
know why religion was so controversial,read books on religion,watch movies on religion,2,flexible,incomparable_pair
bring a family recipe,buy ingredients needed,drive home from grocery store,1,confirmed,confirmed_edge
learn how to line dance,Listen to and watch the teacher,Watch other dancers,2,flexible,incomparable_pair
start teaching piano lessons,create an ad,read articles on the piano,0,reversed,reversed_edge
see what life was like up north,Get new job up north,Look for jobs up north,0,reversed,reversed_edge
have a child,carry baby in stomach,become pregnant from sleeping with person,0,reversed,reversed_edge
do research about dolphins,find local marine specialists,click on links to articles about dolphins,2,flexible,incomparable_pair
see the natural beauty of Maine,get car inspected,take time off from work,2,flexible,incomparable_pair
leave the house,Put on shoes,Find keys and wallet,2,flexible,incomparable_pair
learn to knit,Purchase knitting supplies.,Drive home with supplies.,1,confirmed,confirmed_edge
get more involved,ask questions about the child's day,join a group of other parents,2,flexible,incomparable_pair
wait for a bus,map out where the bus stop is,collect the bus pass,2,flexible,incomparable_pair
do research about dolphins,find local marine specialists,read books on dolphins,2,flexible,incomparable_pair
learn to back flip,Order a trampoline or a foam ball pit.,Set the item up when upon arrival.,1,confirmed,confirmed_edge
join the basketball team,Contact school for tryout information,Practice skill by performing,1,confirmed,confirmed_edge
get more involved,make time to eat together,join a group of other parents,2,flexible,incomparable_pair
mow the lawn today,check that all the parts are still working,get the lawnmower out of the garage,0,reversed,reversed_edge
try a new diet,Follow new diet through week.,Prepare weekly meals that follow diet plan.,0,reversed,reversed_edge
look good for a dance,Take a shower and wash hair,Dry and style hair,1,confirmed,confirmed_edge
learn to play tennis,pay for tennis racket and balls,pick out tennis racket and balls,0,reversed,reversed_edge
get a pet,Get directions and hours of operation,Check which local shelters are nearby,0,reversed,reversed_edge
build a giant snowman,Go outside in an open area,"Get a scarf, a carrot, and rocks",2,flexible,incomparable_pair
drink only fresh milk,place glass and milk carton on counter,open fridge and grab new milk,0,reversed,reversed_edge
see SNL while in NYC,Go to the building SNL is in,Stand in line,1,confirmed,confirmed_edge
get into gardening,Use tools to till the ground for seeds,plant seeds in lined spaced rows,1,confirmed,confirmed_edge
go into an abandoned asylum,walk into asylum,drive to asylum,0,reversed,reversed_edge
go for a trip on an Amtrak train,Open a laptop,Find Amtrak website,1,confirmed,confirmed_edge
eat a quick dinner,take a knife out,take peanut butter out of the pantry,2,flexible,incomparable_pair
find a new job,browse sites for jobs,search for jobs sites,0,reversed,reversed_edge
make a fort,brainstorm a fort construction,find a fort location,2,flexible,incomparable_pair
go on the school field trip,Pack a lunch,Fill extra water bottle,2,flexible,incomparable_pair
go pick up groceries for dinner,pick out the items,walk into store,0,reversed,reversed_edge
go to Hawaii,Go through security and find the correct gate,Pick up the ticket at the airport,0,reversed,reversed_edge
go fishing anymore,Buy fishing equipment,Find a body of water nearby,2,flexible,incomparable_pair
learn how to breakdance,Put on comfortable clothes,Study the videos,2,flexible,incomparable_pair
learn how to do gymnastics,Enroll in class after talking to teacher.,Practice basics until mastered.,1,confirmed,confirmed_edge
go to class because an oral report was due,Do research for the report,Write an outline,1,confirmed,confirmed_edge
see a new movie that was coming out,Purchase a ticket online,Show up to showing,1,confirmed,confirmed_edge
attract more customers,Determine target customer audience.,Research new marketing tactics.,1,confirmed,confirmed_edge
buy a coffee beans,drive to the store,look up best coffee beans,0,reversed,reversed_edge
wake up for school,burrow under warm blankets,turn off alarm,1,confirmed,confirmed_edge
do research about dolphins,use the internet to search,go to the local library,2,flexible,incomparable_pair
see a Broadway show,Drive to the performance location,Wait for the show date,0,reversed,reversed_edge
see the natural beauty of Maine,buy road map of Maine,take time off from work,0,reversed,reversed_edge
start a comic book,Think of an idea for a story,Decide on characters for the story,2,flexible,incomparable_pair
drink only fresh milk,walk toward refrigerator,walk toward kitchen cabinet,2,flexible,incomparable_pair
go for a boat ride,secure the trailer to driving vehicle (truck),drive to the lake,1,confirmed,confirmed_edge
go to the local water park,Put on swim suit,Search online for local water park,2,flexible,incomparable_pair
learn how to drive,Practice driving on back roads or parking lots,practice with permit or with someone else,2,flexible,incomparable_pair
bake some chocolate chip cookies,roll into balls,mix both ingredients together,0,reversed,reversed_edge
go to NYC at christmas time,get on airplane,arrive at airport,0,reversed,reversed_edge
buy a cake,walk into store.,walk to bakery aisle.,1,confirmed,confirmed_edge
learn how to speak Spanish,study Spanish lessons,go to Duolingo,0,reversed,reversed_edge
play with dolls,select fun dolls to play with,purchase the dolls,1,confirmed,confirmed_edge
try investing money,make a deposit from bank account to funds,find items to invest in,0,reversed,reversed_edge
make homemade bread,Purchase the groceries,Drive to the grocery store,0,reversed,reversed_edge
participate in a chess tournament,run through possible strategies,go to the chair when name is called,1,confirmed,confirmed_edge
